10 1620 0.8
20 3515 1.15
30 5202 1.0666666666666667
40 7127 1.175
50 8842 1.12
60 10611 1.1
70 12343 1.042857142857143
80 14160 1.0875
90 15842 1.0666666666666667
100 17635 1.08
110 19514 1.15
120 21452 1.13
130 23239 1.17
140 25006 1.12
150 26907 1.16
160 28640 1.17
170 30304 1.18
180 31898 1.11
190 33738 1.14
200 35217 1.07
210 36891 1.02
220 38501 0.95
230 40147 0.89
240 42034 0.93
250 43618 0.85
260 45216 0.8
270 47155 0.87
280 49274 1.0
290 50969 0.97
10 2112 1.9
20 3877 1.5
30 5607 1.3666666666666667
40 7316 1.25
50 9135 1.28
60 10874 1.2333333333333334
70 12633 1.2
80 14412 1.1875
90 16368 1.2222222222222223
100 18025 1.18
110 19839 1.11
120 21582 1.1
130 23496 1.14
140 25100 1.13
150 26959 1.12
160 28674 1.1
170 30549 1.15
180 32335 1.15
190 34188 1.13
200 36071 1.18
210 37760 1.15
220 39722 1.2
230 41609 1.19
240 43304 1.19
250 44952 1.14
260 46842 1.2
270 48311 1.08
280 50080 1.1
290 51880 1.08
